leaf_id,purity,n_samples,dominant_class
562,0.9365285798735846,9,RECON
566,1.0,21,RECON
567,0.992483284219959,6,RECON
568,0.9365285798735846,9,RECON
571,1.0,380,RECON
573,0.9553661079169358,7,RECON
574,0.9971487933562525,523,RECON
576,0.8379764654283494,5,RECON
578,1.0,35,RECON
579,0.9956495982782075,29,RECON
588,0.8892411170941655,6,TRAFFIC_SPIKE
590,0.6494659166461008,33,NR_MALWARE
591,0.8804088550487529,167,NR_MALWARE
594,0.5721447470052169,10,RECON
595,1.0,5,NR_MALWARE
596,0.7109147393855713,7,RECON
599,0.549296922904133,18,APT
600,0.6643276996217664,17,APT
602,0.3419550368973579,11,TRAFFIC_SPIKE
604,0.45170255002813714,16,APT
605,0.43889115771444676,10,APT
610,0.906982726944331,41,NR_MALWARE
611,0.9946561117400725,14,NR_MALWARE
612,0.6354041152453415,5,NR_MALWARE
615,0.9449981284322757,11,NR_MALWARE
616,0.9828387062368343,5,NR_MALWARE
618,1.0,16,NR_MALWARE
619,0.959779231560013,8,NR_MALWARE
623,0.899159400534286,6,NR_MALWARE
624,0.7157611418782174,6,NR_MALWARE
626,0.6336291425201525,9,NR_MALWARE
627,0.7113308218073856,7,NR_MALWARE
629,0.9744770626678793,11,NR_MALWARE
630,0.6354041152453415,5,NR_MALWARE
636,0.9690461030488506,211,NR_MALWARE
637,0.9128669331648274,585,NR_MALWARE
639,1.0,35,NR_MALWARE
640,0.9845282841470738,49,NR_MALWARE
643,0.8403711404460033,513,NR_MALWARE
644,0.8974829570875514,483,NR_MALWARE
645,1.0,6,NORMAL
649,0.5308483875864847,10,NR_MALWARE
650,0.8053058342103685,58,NR_MALWARE
652,0.6763190649194832,15,RECON
653,0.7137989217059344,42,NR_MALWARE
656,0.5158464596181265,13,TRAFFIC_SPIKE
657,0.5754996104507052,46,RECON
659,0.7436750136904466,5,NR_MALWARE
660,0.8363875730174779,5,NR_MALWARE
664,0.9148084231914081,7,NR_MALWARE
665,0.6844169853878591,5,NR_MALWARE
668,0.9790787477972253,130,NR_MALWARE
669,0.9918838750272223,267,NR_MALWARE
671,0.6844169853878591,5,NR_MALWARE
672,0.9538415622476475,44,NR_MALWARE
676,0.5566734732310666,6,NR_MALWARE
677,0.9109052852532209,16,NR_MALWARE
679,0.93471590361568,6,NR_MALWARE
680,0.9901208871246886,8,NR_MALWARE
682,0.7639649837186073,5,RECON
683,0.9828387062368343,5,NR_MALWARE
685,1.0,1280,NORMAL
689,0.5925217184316398,10,APT
690,0.7233581010326697,18,APT
691,1.0,15,APT
693,0.8836154009957715,8,TRAFFIC_SPIKE
694,1.0,5,APT
702,0.8364081769693166,56,RECON
703,0.6302265899310353,88,RECON
705,0.8156525106399073,711,RECON
706,0.7391047077847683,157,RECON
709,0.4180815837935136,15,TRAFFIC_SPIKE
710,1.0,6,NORMAL
711,0.7305252580233216,6,NR_MALWARE
712,1.0,24,APT
717,0.4570937761317095,15,APT
718,0.4574271600887048,46,APT
719,0.91452968752075,7,NR_MALWARE
721,1.0,16,APT
722,0.5803605289105757,5,APT
726,0.6739569298681629,324,RECON
727,0.5953853869387518,148,RECON
729,0.6607561597424898,206,RECON
730,0.5407838529751193,360,RECON
733,0.5953786883919869,179,RECON
734,0.46486542262013286,459,RECON
736,0.6066121095453635,12,APT
737,0.9367279048313685,6,APT
743,0.5467641615340271,10,APT
744,0.7030589143261582,9,NR_MALWARE
746,0.6274436378230194,14,APT
747,1.0,5,APT
750,0.6844169853878591,5,NR_MALWARE
751,0.8907483361284624,24,NR_MALWARE
753,0.4623199508101769,6,APT
754,0.7303039318803717,12,NR_MALWARE
758,0.4579452764811809,599,APT
759,0.46418478651262596,110,APT
761,1.0,11,NR_MALWARE
762,0.4241255345633052,80,APT
765,0.6835069490905578,290,APT
766,0.8595116669427483,122,APT
767,1.0,7,TRAFFIC_SPIKE
770,1.0,5,TRAFFIC_SPIKE
772,1.0,40,NR_MALWARE
773,1.0,12,NR_MALWARE
775,0.6450940842082592,12,APT
776,0.7551098695729153,12,APT
781,1.0,405,NORMAL
782,1.0,333,NORMAL
784,0.5803605289105757,15,APT
785,0.5083627890444502,6,APT
790,0.519298570355056,203,APT
791,0.7182529843138243,341,APT
793,0.9525270312403297,57,NR_MALWARE
794,0.5338176178146087,169,APT
797,0.7866891712432637,5,APT
798,1.0,22,APT
800,1.0,446,NORMAL
801,0.9143266888562451,80,NORMAL
805,0.5140482396483812,1365,NR_MALWARE
806,0.9925788283289045,76,NR_MALWARE
808,0.8902198017585841,712,NR_MALWARE
809,1.0,6,APT
812,0.4495418445958572,330,APT
813,1.0,7,NR_MALWARE
815,0.4498411575141268,1108,NR_MALWARE
816,0.9670932412433494,58,NR_MALWARE
822,0.8516254287075811,82,NR_MALWARE
823,0.9215459697181309,109,NR_MALWARE
825,0.4756942010039591,5,APT
826,0.8620310254179999,17,NR_MALWARE
827,0.91737972572737,5,APT
831,0.9555090860386946,5,NR_MALWARE
832,0.9142959868967141,356,NR_MALWARE
833,0.9901208871246885,8,NR_MALWARE
836,0.9555090860386946,55,NR_MALWARE
837,0.9662564946810462,24,NR_MALWARE
